sitzung_id,sitzung_name,sitzung_date,sitzung_gremium,dokument_id,dokument_titel,dokument_kategorie,eDokument_id,eDokument_filename,version_nr,_filename
c346cd296ec54ee193bc2fe0617fe3aa,88. KR Sitzung,2013-01-14,KR,d47a280e1e704445ba0db16a80b53ce6,88. KR-Protokoll vom 14.01.2013,Protokoll,d47a280e1e704445ba0db16a80b53ce6-332,88. KR-Protokoll vom 14.01.2013,1,2013-01-14-d47a280e1e704445ba0db16a80b53ce6-332.pdf
38645a2c369441bf8f235468b8ba520c,89. KR Sitzung,2013-01-21,KR,fa8d419d270c47439fe7e652c2dead67,89. KR-Protokoll vom 21.01.2013,Protokoll,fa8d419d270c47439fe7e652c2dead67-332,89. KR-Protokoll vom 21.01.2013,1,2013-01-21-fa8d419d270c47439fe7e652c2dead67-332.pdf
5c555aa99eec4a109332932a519ee952,91. KR Sitzung,2013-01-28,KR,ad2e821333104f3eae45b1ab7b0ce4a1,"91. KR-Protokoll vom 28.01.2013, Nachmittag",Protokoll,ad2e821333104f3eae45b1ab7b0ce4a1-332,"91. KR-Protokoll vom 28.01.2013, Nachmittag",1,2013-01-28-ad2e821333104f3eae45b1ab7b0ce4a1-332.pdf
639d5a8235a94f5499c267f6a7136700,90. KR Sitzung,2013-01-28,KR,63c1a4baf12942c8938c0e4cd7eda80a,"90. KR-Protokoll vom 28.01.2013, Vormittag",Protokoll,63c1a4baf12942c8938c0e4cd7eda80a-332,"90. KR-Protokoll vom 28.01.2013, Vormittag",1,2013-01-28-63c1a4baf12942c8938c0e4cd7eda80a-332.pdf
f925917681044ab4ba1102510adb586e,92. KR Sitzung,2013-02-04,KR,506659a32779471e9421a57407038106,92. KR-Protokoll vom 04.02.2013,Protokoll,506659a32779471e9421a57407038106-332,92. KR-Protokoll vom 04.02.2013,1,2013-02-04-506659a32779471e9421a57407038106-332.pdf
4b03e3f21ed7419384cc8983a3ee10a2,93. KR Sitzung,2013-02-18,KR,17e7c66e8ce2494088fe2eeea694fda6,93. KR-Protokoll vom 18.02.2013,Protokoll,17e7c66e8ce2494088fe2eeea694fda6-332,93. KR-Protokoll vom 18.02.2013,1,2013-02-18-17e7c66e8ce2494088fe2eeea694fda6-332.pdf
d9acb1a42b0a4e9c85a8b887a3f6a070,94. KR Sitzung,2013-02-25,KR,1aa8c4692d0e44a3a97ff049f563d087,"94. KR-Protokoll vom 25.02.2013, Vormittag",Protokoll,1aa8c4692d0e44a3a97ff049f563d087-332,"94. KR-Protokoll vom 25.02.2013, Vormittag",1,2013-02-25-1aa8c4692d0e44a3a97ff049f563d087-332.pdf
66d7d610dece46c48059e45247a27ddd,95. KR Sitzung,2013-02-25,KR,906a8220d6c244bca79b5a5dd53cca07,"95. KR-Protokoll vom 25.02.2013, Nachmittag",Protokoll,906a8220d6c244bca79b5a5dd53cca07-332,"95. KR-Protokoll vom 25.02.2013, Nachmittag",1,2013-02-25-906a8220d6c244bca79b5a5dd53cca07-332.pdf
5ffba37035f1487fbf889a3f26c7ae9c,96. KR Sitzung,2013-03-04,KR,f8eb39e561f34dc9879c597da6f6f115,96. KR-Protokoll vom 04.03.2013,Protokoll,f8eb39e561f34dc9879c597da6f6f115-332,96. KR-Protokoll vom 04.03.2013,2,2013-03-04-f8eb39e561f34dc9879c597da6f6f115-332.pdf
04112710fecc4a85ba211bc40a48de87,97. KR Sitzung,2013-03-11,KR,1a1e34fed6bb4d4d9b31b3539be199b7,97. KR-Protokoll vom 11.03.2013,Protokoll,1a1e34fed6bb4d4d9b31b3539be199b7-332,97. KR-Protokoll vom 11.03.2013,1,2013-03-11-1a1e34fed6bb4d4d9b31b3539be199b7-332.pdf
0ccb08a8e40d498a938af538bbbe9c25,98. KR Sitzung,2013-03-18,KR,63c2d9ae1cf04cdb8107c230f221d4a9,98. KR-Protokoll vom 18.03.2013,Protokoll,63c2d9ae1cf04cdb8107c230f221d4a9-332,98. KR-Protokoll vom 18.03.2013,1,2013-03-18-63c2d9ae1cf04cdb8107c230f221d4a9-332.pdf
f04d0416ad224fc3b161a56dcb88ab1f,99. KR Sitzung,2013-03-25,KR,b529128073f9465697f6c0432e290ea2,"99. KR-Protokoll vom 25.03.2013, Vormittag",Protokoll,b529128073f9465697f6c0432e290ea2-332,"99. KR-Protokoll vom 25.03.2013, Vormittag",1,2013-03-25-b529128073f9465697f6c0432e290ea2-332.pdf
5ebfcaadad0942d99e93cc7779d9cb49,100. KR Sitzung,2013-03-25,KR,e4935b2c315e4e7798cb4a05cf23b436,"100. KR-Protokoll vom 25.03.2013, Nachmittag",Protokoll,e4935b2c315e4e7798cb4a05cf23b436-332,"100. KR-Protokoll vom 25.03.2013, Nachmittag",1,2013-03-25-e4935b2c315e4e7798cb4a05cf23b436-332.pdf
